"m","k","alpha","scheme","C_true","Bias","MSE","AL_ACI","CP_ACI","AL_PB","CP_PB","AL_NB","CP_NB","n_pt","n_ACI","n_boot"
100,2,1,"Early",0.487417578470044,0.00912330833823533,0.00379595914615812,0.233650221175179,0.948,0.235117964787734,0.934,0.239303745811765,0.96,2000,500,500
100,2,1,"Middle",0.487417578470044,0.014985147026222,0.00499833623477298,0.258821561159612,0.946,0.260273370054822,0.934,0.264964506440512,0.95,2000,500,500
100,2,1,"Late",0.487417578470044,0.0138746451523806,0.00730280885509059,0.325836547385336,0.946,0.331239703514965,0.908,0.337510293194451,0.952,2000,500,500
100,2,1,"Equal",0.487417578470044,0.010890210962042,0.00524189567428265,0.2784813351769,0.928,0.281431857209639,0.914,0.286679658502172,0.942,2000,500,500
100,2,2,"Early",0.755777370124286,0.0109056861233797,0.00568173618314408,0.290864501634669,0.948,0.292340112771465,0.914,0.296881997819901,0.95,2000,500,500
100,2,2,"Middle",0.755777370124286,0.0128010889418649,0.00662397823659878,0.316542959709707,0.938,0.319808731852707,0.912,0.32556051515722,0.958,2000,500,500
100,2,2,"Late",0.755777370124286,0.0215574138904994,0.0124864864153279,0.409442815973076,0.96,0.416215892899467,0.942,0.42358690045535,0.964,2000,500,500
100,2,2,"Equal",0.755777370124286,0.0156204968327577,0.00818282538669087,0.344090932524913,0.954,0.34758733207583,0.94,0.354700301541459,0.96,2000,500,500
100,5,1,"Early",0.487417578470044,0.0101067151060421,0.00535110868589193,0.284904676827918,0.932,0.287476674887952,0.918,0.292253346547994,0.944,2000,500,500
100,5,1,"Middle",0.487417578470044,0.0154721010348157,0.00699447654657795,0.310200957180923,0.96,0.313730789068788,0.95,0.320038462546343,0.968,2000,500,500
100,5,1,"Late",0.487417578470044,0.0203613512057859,0.0117802426153684,0.411980907656216,0.952,0.420355261607659,0.92,0.429124501247738,0.95,2000,500,500
100,5,1,"Equal",0.487417578470044,0.0139410840968472,0.00859801023911036,0.34069792005773,0.946,0.346272282402728,0.936,0.352336531432506,0.956,2000,500,500
100,5,2,"Early",0.755777370124286,0.0166647995298048,0.00823189421734982,0.349228196295085,0.95,0.350901553283734,0.934,0.357517484903712,0.952,2000,500,500
100,5,2,"Middle",0.755777370124286,0.0180670599331997,0.0101563122971037,0.371370386868012,0.952,0.375995587731123,0.914,0.381961119680626,0.95,2000,500,500
100,5,2,"Late",0.755777370124286,0.0238345564710045,0.0175614250675855,0.506847768888388,0.956,0.516589735424849,0.934,0.526401794003086,0.96,2000,500,500
100,5,2,"Equal",0.755777370124286,0.0187037989594457,0.0118785365858541,0.417414399521287,0.958,0.423505320883233,0.934,0.431607258054031,0.96,2000,500,500
