"m","C_true","Bias","MSE","AL_ACI","CP_ACI","AL_PB","CP_PB","AL_NB","CP_NB","CP1_ACI","CP1_PB","CP1_NB","n_pt","n_ACI","n_boot","n_rep_ci"
9,0.966679155837914,0.181881783091883,0.170570971593463,1.18889503639404,0.9495,1.5974435262472,0.833,1.65649284331299,0.985,0.9275,0.778,0.998,4000,2000,2000,2000
12,0.966679155837914,0.130346527061129,0.105036970900277,1.00226713404085,0.95,1.24226408262843,0.8505,1.28181931794422,0.9845,0.927,0.787,0.9975,4000,2000,2000,2000
15,0.966679155837914,0.0962076212496096,0.0727638503482358,0.881075945921686,0.9495,1.03847468863755,0.8695,1.06895585629574,0.9795,0.936,0.811,0.9955,4000,2000,2000,2000
20,0.966679155837914,0.0677986993524059,0.0462354622794093,0.750694134334497,0.949,0.846980248590267,0.888,0.866753332498617,0.975,0.935,0.83,0.983,4000,2000,2000,2000
25,0.966679155837914,0.0593195305247814,0.0358066044946789,0.657874463638274,0.959,0.720199582373851,0.907,0.737039076564901,0.978,0.944,0.8585,0.9865,4000,2000,2000,2000
