"m","k","alpha","scheme","Cq_true","Cm_true","n_ok_q","n_ok_m","n_fixedpoint","Bias_q","MSE_q","Bias_m","MSE_m","RB_q","RMSE_q","RB_m","RMSE_m","ratio"
50,2,10,"Early",-3.02286578227976,-3.31710741750902,2000,2000,1966,-0.115569581109571,0.299767050214249,-0.180647833014656,0.763523839510467,-0.0382317937458711,0.0328054625214898,-0.0544594462214653,0.0693910614317638,2.11522887038425
50,2,10,"Middle",-3.02286578227976,-3.31710741750902,1998,1998,1542,-0.153224457479385,0.41116803864286,-0.233646893481793,1.02195301973295,-0.0506884752798478,0.0449967989213366,-0.0704369391984449,0.0928777873106523,2.06409765888061
50,2,10,"Late",-3.02286578227976,-3.31710741750902,2000,2000,2000,-0.242680601886528,0.79062068763751,-0.373742965911781,1.96360731771169,-0.0802816331803872,0.0865227759971263,-0.112671348518597,0.17845781488441,2.06255304256924
50,2,10,"Equal",-3.02286578227976,-3.31710741750902,2000,2000,1999,-0.196349170380039,0.534113965816809,-0.304645274993512,1.3390097054513,-0.0649546438783523,0.0584515732308951,-0.0918406420562304,0.121692735603739,2.08194115020702
50,5,5,"Early",-1.42559545044212,-1.10818137661647,2000,2000,1940,-0.11935966357477,0.213453070226282,-0.195867563235464,0.503108970330062,-0.0837261816020477,0.105029138808336,-0.1767468461106,0.409675852349628,3.9005923213103
50,5,5,"Middle",-1.42559545044212,-1.10818137661647,1990,1987,1314,-0.154251460924074,0.286856921491359,-0.251514894852988,0.657082501805776,-0.108201426201407,0.141147351000895,-0.226961849531275,0.53505472942513,3.79075289497807
50,5,5,"Late",-1.42559545044212,-1.10818137661647,2000,1967,2000,-0.211810262375989,0.590182662109498,-0.379834441126194,1.33724428151718,-0.148576696362422,0.290398150166028,-0.342754759411239,1.08890264960056,3.74968865668741
50,5,5,"Equal",-1.42559545044212,-1.10818137661647,2000,1995,1999,-0.160643847254499,0.338179104380537,-0.265714580849904,0.769037702428907,-0.11268543765672,0.166400324241805,-0.239775353075496,0.626218562600605,3.76332537483889
50,5,10,"Early",-3.02286578227976,-3.31710741750902,2000,2000,1826,-0.204502243565297,0.600278698816507,-0.315242428560711,1.46428380273066,-0.0676517775827503,0.0656924112987035,-0.0950353391924348,0.13307797615588,2.02577395965532
50,5,10,"Middle",-3.02286578227976,-3.31710741750902,1994,1994,790,-0.263641055832321,0.76271605390251,-0.403172444022749,1.81731561964371,-0.0872156009631001,0.0834689900139264,-0.121543378997811,0.165162439308317,1.97872813940554
50,5,10,"Late",-3.02286578227976,-3.31710741750902,2000,1999,2000,-0.340267038019065,1.50509353764049,-0.520079590789793,3.53346003193412,-0.112564388407098,0.164712197705225,-0.156787081432638,0.321130172307162,1.94964414767793
50,5,10,"Equal",-3.02286578227976,-3.31710741750902,2000,2000,2000,-0.264888343055446,0.957794786697839,-0.404073457586339,2.27609765723324,-0.0876282184304176,0.104817727484849,-0.121815005282457,0.206857761584797,1.97349977478474
100,2,5,"Early",-1.42559545044212,-1.10818137661647,2000,2000,2000,-0.0307142554529067,0.0500996363162207,-0.0553542254306434,0.121217838199289,-0.0215448607410899,0.0246514217449546,-0.0499505104477142,0.0987062924990065,4.00408112441663
100,2,5,"Middle",-1.42559545044212,-1.10818137661647,2000,2000,1986,-0.0426557614932566,0.0699044108744003,-0.0703637557058487,0.166318247745758,-0.0299213647742969,0.0343963198339525,-0.0634948007524592,0.135431037657387,3.93736999513837
100,2,5,"Late",-1.42559545044212,-1.10818137661647,2000,2000,2000,-0.0780784231489409,0.129807091710059,-0.131706989021067,0.319338914650818,-0.0547689901260043,0.063871309225345,-0.118849668294552,0.2600340080642,4.0712177536047
100,2,5,"Equal",-1.42559545044212,-1.10818137661647,2000,2000,2000,-0.0540352631883054,0.0871213225192864,-0.0904940807761425,0.211023330118917,-0.0379036445238007,0.04286786536424,-0.0816599905806407,0.171833872442005,4.00845414116064
100,2,10,"Early",-3.02286578227976,-3.31710741750902,2000,2000,1999,-0.0632848700846358,0.135133316769399,-0.100601816435034,0.34502996742405,-0.0209353886816993,0.0147885198040101,-0.0303281756581103,0.0313572339544396,2.12037677671681
100,2,10,"Middle",-3.02286578227976,-3.31710741750902,1996,1996,1651,-0.0878573007217023,0.186967542667579,-0.135886472548059,0.465760667463065,-0.0290642413688122,0.0204610770574436,-0.0409653518697634,0.0423295585756046,2.06878447584975
100,2,10,"Late",-3.02286578227976,-3.31710741750902,2000,2000,2000,-0.114754361620767,0.346250817252304,-0.176606018235792,0.879065851976838,-0.0379621094305493,0.0378924841815911,-0.0532409705225687,0.0798918244336683,2.10838181130604
100,2,10,"Equal",-3.02286578227976,-3.31710741750902,2000,2000,2000,-0.101891273214362,0.237732956701498,-0.156713420949181,0.602371466481248,-0.0337068465995599,0.026016667260861,-0.0472439994321514,0.0547451084986966,2.10423218123153
100,5,5,"Early",-1.42559545044212,-1.10818137661647,2000,2000,1998,-0.0539733161671574,0.0938271257868287,-0.0894283942130969,0.220405154561382,-0.0378601910874637,0.0461674419009535,-0.0806983370232606,0.179473384260965,3.8874448501176
100,5,5,"Middle",-1.42559545044212,-1.10818137661647,1993,1993,1422,-0.0786030383296905,0.125922769696565,-0.126638514346772,0.285542491631611,-0.0551369873587304,0.061960036665531,-0.114275981368166,0.232513969219178,3.7526441514927
100,5,5,"Late",-1.42559545044212,-1.10818137661647,2000,1995,2000,-0.126999992775146,0.264693594772383,-0.210946341177019,0.604145185797664,-0.0890855766520301,0.130241932231542,-0.1903536240801,0.491948481403956,3.77718967290334
100,5,5,"Equal",-1.42559545044212,-1.10818137661647,2000,2000,2000,-0.0954158645432666,0.157431009763619,-0.153796028270998,0.362054007194073,-0.0669305338437181,0.0774636005922566,-0.138782361368112,0.294816417001117,3.80587030227184
100,5,10,"Early",-3.02286578227976,-3.31710741750902,2000,2000,1971,-0.0906607183152262,0.254705075460028,-0.138378104535109,0.632727702704193,-0.0299916452945696,0.0278740368598389,-0.0417164978754363,0.0575039633550611,2.06299373299291
100,5,10,"Middle",-3.02286578227976,-3.31710741750902,1996,1996,766,-0.0993821672297317,0.326906046559006,-0.153544605240262,0.787290983681299,-0.0328768044589729,0.0357754598137954,-0.046288704559217,0.0715510822141839,2.00000454464021
100,5,10,"Late",-3.02286578227976,-3.31710741750902,2000,2000,2000,-0.161885174749272,0.658966062456955,-0.245797137752499,1.5750401865669,-0.0535535436929597,0.0721149520916817,-0.0740998426686707,0.14314380859887,1.98493938423321
100,5,10,"Equal",-3.02286578227976,-3.31710741750902,2000,2000,2000,-0.117196987131106,0.39727946670071,-0.179490079261044,0.961489931073464,-0.0387701590385266,0.0434768819524783,-0.0541104211198057,0.0873827422545416,2.00986681496741
